ID,sentence,label
301,Now I know that I made a wise decision.,1
1155,the staff is friendly and the joint is always clean.,1
2411,There's also enough hypocrisy in this film to make me vomit.  ,0
1567,Food was delicious!,1
1111,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0
83,The battery runs down quickly.,0
2651,"There is, however, some pretty good acting (at least, for this type of film).  ",1
1912,"i felt insulted and disrespected, how could you talk and judge another human being like that?",0
1116,It was pretty gross!,0
79,I purchased this and within 2 days it was no longer working!!!!!!!!!,0
2209,I couldn't take them seriously.  ,0
2509,"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",0
527,The noise shield is incrediable.,1
2620,"The acting, as you'd expect from this cast, is top notch.  ",1
190,The replacement died in a few weeks.,0
2275,The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.  ,0
1081,walked in and the place smelled like an old grease trap and only 2 others there eating.,0
409,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
2414,"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  ",1
154,I've bought $5 wired headphones that sound better than these.,0
1676,I can't wait to go back.,1
590,Sprint - terrible customer service.,0
2,Great for the jawbone.,1
2059,A great film by a great director.  ,1
2536,It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1
2289,"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",1
2421,Don't miss it.  ,1
2049,"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1
2462,"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",1
1700,"The chips that came out were dripping with grease, and mostly not edible.",0
45,It has all the features I want,1
511,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0
2250,My 8/10 Score is mostly for the plot.  ,1
928,Makes it easier to keep up with my bluetooth when I'm not wearing it.,0
121,Could not get strong enough signal.,0
703,lightweight and works well.,1
2231,"Oh yeah, and the storyline was pathetic too.  ",0
315,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0
1058,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
1374,And the beans and rice were mediocre at best.,0
936,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0
1006,Honeslty it didn't taste THAT fresh.),0
566,Cumbersome design.,0
1661,"Very convenient, since we were staying at the MGM!",1
1471,The one down note is the ventilation could use some upgrading.,0
2194,"I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  ",1
1882,We definately enjoyed ourselves.,1
2172,The jerky camera movements were also annoying.  ,0
716,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1
2468,"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  ",1
1430,I never come again.,0
858,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0
2224,"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  ",1
73,Nice docking station for home or work.,1
2612,"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",1
1484,Delicious and I will absolutely be back!,1
942,"The mic there is a joke, and the volume is quite low.",0
418,"Att is not clear, sound is very distorted and you have to yell when you talk.",0
44,Excellent bluetooth headset.,1
1137,This is one of the best bars with food in Vegas.,1
503,I would have given no star if I was able.,0
95,Will order from them again!,1
702,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1
824,Awkward to use and unreliable.,0
2350,The original Body and Soul (1947) is a masterpiece.  ,1
310,"This is a good battery, and it got here really fast.",1
218,WORST PHONE EVER.,0
500,"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1
1129,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1
1359,(The bathroom is just next door and very nice.),1
1025,That's right....the red velvet cake.....ohhh this stuff is so good.,1
1353,It shouldn't take 30 min for pancakes and eggs.,0
1381,They have great dinners.,1
1504,The waitress and manager are so friendly.,1
1232,Very very fun chef.,1
2048,But in terms of the writing it's very fresh and bold.  ,1
1763,But the service was beyond bad.,0
1269,"For a self proclaimed coffee cafe, I was wildly disappointed.",0
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
744,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0
1337,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0
2312,"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  ",0
2327,From here on the Widmark character turns unintentionally comical!  ,0
2547,"Despite the pans of reviewers, I liked this movie.  ",1
2457,Also great directing and photography.  ,1
2052,"), and sometimes it was so embarrassing that I had to look away.  ",0
441,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0
270,"Not only will it drain your player, but may also potentially fry it.",0
927,"but it is great, i would really recommend it",1
1767,The block was amazing.,1
363,"bad fit, way too big.",0
292,Excellent Phone.,1
638,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1
690,The nokia CA-42 USB cable did not work with my phone.,0
117,It is very comfortable on the ear.,1
1913,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0
255,poor quality and service.,0
1968,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0
2589,If you want a real scare rent this one!  ,1
266,Returned 8 hours later.,0
990,I'm really disappointed all I have now is a charger that doesn't work.,0
676,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0
1580,Boy was that sucker dry!!.,0
2525,"It's an empty, hollow shell of a movie.  ",0
2147,This is actually a very smart movie.  ,1
1276,I liked the patio and the service was outstanding.,1
460,BT50 battery junk!.,0
2229,"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  ",0
1971,The ambiance isn't much better.,0
823,They keep getting better and better (this is my third one and I've had numerous Palms too).,1
808,2 thumbs up to this seller,1
1617,"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0
2735,This movie is well-balanced with comedy and drama and I thoroughly enjoyed myself.  ,1
1512,By far the BEST cheesecurds we have ever had!,1
369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
2135,"You'll love it!  	1
This movie is BAD.  	0
So bad.  	0
The film is way too long.  	0
This is definitely one of the bad ones.  	0
The movie I received was a great quality film for it's age.  	1
John Wayne did an incredible job for being so young in the movie industry.  	1
His on screen presence shined thought even though there were other senior actors on the screen with him.  	1
I think that it is a must see older John Wayne film.  	1
I really don't see how anyone could enjoy this movie.  	0
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  	0
It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  	0
Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  	0
Jamie Foxx absolutely IS Ray Charles.  	1
His performance is simply genius.  	1
He owns the film, just as Spacek owned Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1
1177,"The atmosphere is modern and hip, while maintaining a touch of coziness.",1
1924,"However, there was so much garlic in the fondue, it was barely edible.",0
1254,Now the pizza itself was good the peanut sauce was very tasty.,1
1486,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1
1396,I'm probably one of the few people to ever go to Ians and not like it.,0
2583,The Foreigner is not worth one second of your time.  ,0
683,I love the ringtones because they are so upbeat!,1
2433,But it wasn't until I watched this film that I realised how great he actually was.  ,1
2548,"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  ",1
63,Buy a different phone - but not this.,0
2068,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
2544,"A very good film indeed, about great and unconditional love.  ",1
479,I'd like to return it.,0
2329,And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,0
68,Great for iPODs too.,1
2596,"Predictable, but not a bad watch.  ",1
689,Works well.,1
2081,"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0
665,I could not recommend these more.,0
2491,It's so bad it's actually worth seeing just for that reason.  ,0
387,The best phone in market :).,1
678,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1
2533,"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",1
1009,A great touch.,1
1079,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0
497,Save your money.... I've had this item for 11 months now.,0
1150,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1
806,"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0
1657,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1
137,My headset works just peachy-keen.,1
1800,I'm super pissd.,0
1093,Best breakfast buffet!!!,1
328,AMAZON SUCKS.,0
950,It is a joy to use.,1
2161,The things that the four kids get themselves into is absolutely hilarious to watch.  ,1
985,"There was so much hype over this phone that I assumed it was the best, my mistake.",0
470,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1
2047,An hour and a half I wish I could bring back.  ,0
1121,"Worst service to boot, but that is the least of their worries.",0
1230,This wonderful experience made this place a must-stop whenever we are in town again.,1
2237,"An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).  ",1
2581,None of them are engaging or exciting.  ,0
1032,I found this place by accident and I could not be happier.,1
276,I wasted my little money with this earpiece.,0
321,I ordered this product first and was unhappy with it immediately.,0
1623,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0
1815,I can say that the desserts were yummy.,1
2733,Still it's quite interesting and entertaining to follow.  ,1
1073,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0
1703,Our server was very nice and attentive as were the other serving staff.,1
2704,But it picked up speed and got right to the point.  ,1
492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1
2446,"Overall, a delight!  ",1
2322,It is zillion times away from reality.  ,0
1225,I loved the bacon wrapped dates.,1
1616,My friend did not like his Bloody Mary.,0
2376,"Aside from it's terrible lead, this film has loads of other debits.  ",0
1085,I love the Pho and the spring rolls oh so yummy you have to try.,1
366,Waste of money.,0
1573,"He also came back to check on us regularly, excellent service.",1
428,IT'S REALLY EASY.,1
501,This battery is an excellent bargain!,1
1596,I got home to see the driest damn wings ever!,0
2355,"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",0
132,Headset works great & was packaged nicely to avoid any damage.,1
1664,Eclectic selection.,1
2013,It Was So Cool.  ,1
2028,It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1
2599,Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  ,1
529,Razr Battery - Good buy.,1
1493,CONCLUSION: Very filling meals.,1
2189,"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  ",1
778,This is a great deal.,1
1214,Extremely Tasty!,1
252,It's very attractive and appears to be of good quality.,1
2109,I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,0
2510,Never heard of any of them except Cole who was totally unbelievable in the part.  ,0
1289,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0
2615,The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  ,1
2334,"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  ",1
1648,Great food.,1
2373,"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  ",0
1218,Which are small and not worth the price.,0
842,Terrible.. My car will not accept this cassette.,0
2645,"It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brainsucking movies, look no further.  ",1
334,"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
2658,I highly doubt that anyone could ever like this trash.  ,0
9,What a waste of money and time!.,0
815,I checked everywhere and there is no feature for it which is really disappointing.,0
424,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
323,I was able to do voice dialing in the car with no problem.,1
1665,The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1
247,Nice headphones for the price and they work great!,1
2650,"As for the killer, don't expect anything original or even remotely frightening.  ",0
1408,Service was fantastic.,1
688,Too bad you have to pay up to $$$ a month for the service!,0
24,I bought it for my mother and she had a problem with the battery.,0
910,"Good show, Samsung.",1
2527,"Avoid, avoid, avoid!  ",0
1171,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1
2034,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1
2370,"The ""explosion"" of the Gas tanks at the end was just as awful.  ",0
2199,"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  ",0
324,"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0
2563,It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,1
822,I have been very satisfied with this cell phone from day one.,1
2437,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",1
2252,"Wow, what a bad film.  ",0
724,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1
2653,"One of the most boring,pointless movies I have ever seen.  ",0
410,I'll be looking for a new earpiece.,0
2274,"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.  ",0
1678,It's a great place and I highly recommend it.,1
2555,A very charming film with wonderful sentiment and heart.  ,1
1611,I checked out this place a couple years ago and was not impressed.,0
1511,"Give it a try, you will be happy you did.",1
488,"Then I exchanged for the same phone, even that had the same problem.",0
2134,But this movie is definitely a below average rent.  ,0
984,Adapter does not provide enough charging current.,0
1083,This place has it!,1
2486,This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  ,1
732,T-Mobile has the best customer service anywhere.,1
1640,The Macarons here are insanely good.,1
1423,We've tried to like this place but after 10+ times I think we're done with them.,0
265,Battery life is real good.,1
1679,Service was slow and not attentive.,0
1539,The steak and the shrimp are in my opinion the best entrees at GC.,1
1312,The food was very good.,1
1684,Damn good steak.,1
552,Its a total package.,1
1932,WAAAAAAyyyyyyyyyy over rated is all I am saying.,0
183,"I have this phone and it is a thorn in my side, I really abhor it.",0
836,"Horrible, horrible protector.",0
2608,The worst one of the series.  ,0
1361,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1
1712,2 Thumbs Up!!,1
2009,Loved the casting of Jimmy Buffet as the science teacher.  ,1
1732,Nicest Chinese restaurant I've been in a while.,1
2564,The movie was very interesting from beginning to the end.  ,1
914,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0
1468,"Love the margaritas, too!",1
811,#1 It Works - #2 It is Comfortable.,1
2029,Definitely worth checking out.  ,1
2403,There is simply no excuse for something this poorly done.  ,0
2469,It is not good.  ,0
2111,I certainly do not mean this distinction in a good way.  ,0
1403,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1
1639,This is a good joint.,1
1910,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0
134,Buyer--Be Very Careful!!!!!.,0
2210,It really created a unique feeling though.  ,1
2246,"Bela Lugosi was totally extraneous, intoning odd lines.  ",0
2217,"As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  ",1
195,"Light weight, I hardly notice it is there.",1
596,Piece of trash.,0
1701,I wasn't really impressed with Strip Steak.,0
797,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1
1226,This is an unbelievable BARGAIN!,1
2046,"I love Lane, but I've never seen her in a movie this lousy.  ",0
1399,Cooked to perfection and the service was impeccable.,1
713,"jabra ear gels ""R"" the best!.",1
737,"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1
386,Poor sound quality.,0
562,"All in all, I'm quite satisfied with this purchase.",1
2406,"To be honest with you, this is unbelievable nonsense and very foolish.  ",0
1776,These were so good we ordered them twice.,1
2316,It is indescribably the most annoying and idiotic show I have ever seen.  ,0
616,Poor product.,0
1115,Check it out.,1
2058,I really liked that.  ,1
752,Blue Ant is easy to use.,1
2087,"The acting is terrible, and the writing is worse.  ",0
1934,The place was fairly clean but the food simply wasn't worth it.,0
2158,Now you know why I gave it a 10+!  ,1
36,It has kept up very well.,1
2627,"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  ",1
2083,This is definitely a cult classic well worth viewing and sharing with others.  ,1
2263,"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",0
1806,I could eat their bruschetta all day it is devine.,1
557,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
2001,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0
69,This device is great in several situations:1.),1
876,Excellent dual-purpose headset.,1
2152,Everything about this movie is stupid.  ,0
720,"Good value, works fine - power via USB, car, or wall outlet.",1
1375,Best tacos in town by far!!,1
636,These are fabulous!,1
1341,"Of all the dishes, the salmon was the best, but all were great.",1
489,This results in the phone being either stuck at max volume or mute.,0
1591,The waitress was friendly and happy to accomodate for vegan/veggie options.,1
2456,There still are good actors around!  ,1
237,Authentic leather with nice shine and comfort .I recommend you this case !!,1
862,So far it has worked like a charm.,1
260,Good product - incredible value.,1
1524,Those burgers were amazing.,1
728,It has everything I need and I couldn't ask for more.,1
1159,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0
1842,"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1
1220,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0
955,Buttons are too small.,0
124,Gets the job done.,1
2159,"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  ",1
88,Product was excellent and works better than the verizon one and Boy was it cheaper!,1
622,This is a great product..... sure beats using your fingers!.,1
1233,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0
2362,"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",0
2570,PS the only scene in the movie that was cool is when the central character finds her room blown up.  ,1
580,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
786,They work about 2 weeks then break.,0
710,Can't store anything but phone numbers to SIM.,0
389,The company shipped my product very promptly and it works well.,1
2522,That's how I'd describe this painfully dreary time-waster of a film.  ,0
326,"However-the riingtones are not the best, and neither are the games.",0
839,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0
483,You won't regret it!,1
1746,An extensive menu provides lots of options for breakfast.,1
1974,"Your servers suck, wait, correction, our server Heimer sucked.",0
173,The iGo chargers and tips are really great.,1
2483,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",1
2680,The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie.  ,1
696,The phone can also take great pictures and even video clips.,1
123,Bad Quality.,0
2420,"An instant classic, with a great soundtrack and a catchy song during the ending credits.  ",1
1001,Crust is not good.,0
2539,The movie has almost no action scenes in it and very little comedy.  ,0
2639,) Don't waste your time.  ,0
2133,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0
1405,Left very frustrated.,0
2534,") a happy, wonderful, feel good ending!  ",1
2005,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0
1638,"After waiting an hour and being seated, I was not in the greatest of moods.",0
884,"I am pairing this with my iphone, and I could not be happier with it so far.",1
2102,I don't think I've ever gone to a movie and disliked it as much.  ,0
2222,It just blew.  ,0
1328,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0
514,"very good product, well made.",1
2379,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,1
795,Perfect for the PS3.,1
1196,The live music on Fridays totally blows.,0
378,"Clear Skype Calls, Long Battery Life, Long Range.",1
216,I would recommend this.,1
2245,The last 15 minutes of movie are also not bad as well.  ,1
2190,"Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.  ",1
1829,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0
90,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0
1900,Spend your money elsewhere.,0
1199,It is worth the drive.,1
1727,A FLY was in my apple juice.. A FLY!!!!!!!!,0
448,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
1351,He was terrible!,0
1102,"Best Buffet in town, for the price you cannot beat it.",1
2646," With great sound effects, and impressive special effects, I can't recommend this movie enough.  	1
Call me a nut, but I think this is one of the best movies ever.  	1
Great character actors Telly Savalas and Peter Boyle.  	1
1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  	0
Lots of holes in the script.  	0
It's like a bad two hour TV movie.  	0
Now imagine that every single one of those decisions was made wrong.  	0
The dialogue is atrocious.  	0
The acting is beyond abysmal.  	0
Everything stinks.  	0
Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  	0
Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  	0
It's dumb and pointless, and a complete waste of time.  	0
In short, don't bother with this movie.  	0
I won't spoil it, but the ending in pretty amazing.  	1
The best scene in the movie is at the end, but I won't spoil it.  	1
If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  	1
The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  	1
A film not easily forgotten.  	1
But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  	1
The scripting of the subtle comedy is unmatched by any movie in recent years.  	1
The characters are interesting, even if a bit predictable.  	1
Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  	1
Great movie!  	1
Also the story and acting were weak.  	0
At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  	0
Either way, it sucks.  	0
The script is horrendously stupid.  	0
The story starts too fast with absolutely no suspense or build-up in the slightest.  	0
Everything Captain Howdy says is either laughable or just plain stupid.  	0
What the hell kind of crap is that?!  	0
Then, there's the plot holes.  	0
You could drive a semi truck into these holes!  	0
Linda Cardellini is the only thing good in this film.  	1
She's poised and amazing.  	1
Dee Snider just plain sucks.  	0
He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  	0
I was bored throughout the whole damn thing.  	0
The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  	0
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  	0
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  	0
A piece of cinematic garbage captured on celluloid.  	0
Avoid at any and all costs.  	0
At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  	0
Avoid this film at all costs.  	0
I don't know what happened in Season Five, what a mess.  	0
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  	0
Now this is a movie I really dislike.  	0
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  	0
The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  	0
The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  	0
There aren't death scenes like in previous movies and the f/x are terrible.  	0
I felt asleep the first time I watched it, so I can recommend it for insomniacs.  	0
The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  	1
The best part about Nurse Betty"" is it's unpredictability.  ",1
643,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1
2126,"Yes, it's that bad.  ",0
949,I had to purchase a different case.,0
2214,Not too screamy not to masculine but just right.  ,1
2218,I am a fan of his ... This movie sucked really bad.  ,0
1487,I dont think I will be back for a very long time.,0
1834,They were excellent.,1
107,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1
979,Not enough volume.,0
2160,I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  ,1
1376,I took back my money and got outta there.,0
177,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0
66,"A week later after I activated it, it suddenly died.",0
1490,I will be back many times soon.,1
495,Plug was the wrong size.,0
258,Excellent hands free tool.,1
1861,Talk about great customer service of course we will be back.,1
1559,I *heart* this place.,1
169,One thing I hate is the mode set button at the side.,0
222,"Simple, lightweight and great fit.",1
1848,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0
412,Jawbone Era is awesome too!,1
